"Name","Year","Directors","Producers","Actors"
"Detective Story","1951","William Wyler","William Wyler","Kirk Douglas, Eleanor Parker, Gerald Mohr, Horace McMahon, Cathy O'Donnell, Lee Grant, George Macready, Gladys George, Joseph Wiseman, William Bendix"
"Airport 1975","1974","Jack Smight","Jennings Lang, William Frye","Charlton Heston, Karen Black, Sid Caesar, George Kennedy, Linda Blair, Beverly Garland, Jerry Stiller, Efrem Zimbalist Jr., Linda Harrison, Erik Estrada, Myrna Loy, Dana Andrews, Martha Scott, Susan Clark, Helen Reddy, Roy Thinnes, Ed Nelson, Nancy Olson, Larry Storch, Norman Fell, Conrad Janis, Guy Stockwell, Kip Niven, Charles White, Brian Morrison, Amy Farrell, Irene Tsu, Ken Sansom, Alan Fudge, Austin Stoker, John Lupton, Eugene Dynarski, Aldine King, Sharon Gless, Laurette Spang-McCook, Gloria Swanson, Mary Margaret Amato, Selma Archerd, Barbara Baldavin, Rochelle Balin, Carol Brooks, Jolivett Cato, Joan Crosby, Tom Curtis, Jim Drum, Redmond Gleeson, Pitt Herbert, Tad Horino, Robert Ito, Ted Gehring, James W. Gavin, Jeanne Joe, Sander Johnson, Fred Karger, Lloyd Kino, Clyde Kusatsu, Tommy Lee, J. Edward McKinley, Dorothy Meyer, Jody Myler, Richard Narita, Bennett Ohta, Win Opie, Eddie Peterson, Gayle Rogers, Keith Rogers, Bill Saito, Berlinda Tolbert, Lee Weaver, Glen Vernon, Jeanne Westmore, Sally Yarnell, Ray Ballard, Billy Beck, Marjorie Bennett, Bunny Burriston, David Carlile, Diana Chesney, Ed Connelly, Edwin Cook, Natalie Core, Wade Crosby, Joyce Cunning, Maria Diane, Louie Fant, Cay Forrester, Susan French, John Furlong, Virginia Gregg, Bob Hastings, Monika Henreid, Richard Ianniciello, Dulcie Jordan, Norm Keefer, Gene Krischer, Clay Lacy, Kathleen LeRoy, Terry Lester, Judy Lewis"
"Hamlet","1996","Kenneth Branagh","David Barron","Kenneth Branagh, Derek Jacobi, Julie Christie, Richard Briers, Michael Maloney, Kate Winslet, Billy Crystal, Gérard Depardieu, Robin Williams, Charlton Heston, Jack Lemmon, Rufus Sewell, Timothy Spall, Reece Dinsdale, Richard Attenborough, Nicholas Farrell, John Gielgud, Judi Dench, John Mills, Rosemary Harris, Brian Blessed, Ken Dodd, Rob Edwards, Jimi Mistry, Tom Szekeres"
"American Beauty","1999","Sam Mendes","Bruce Cohen, Dan Jinks","Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley, Mena Suvari, Chris Cooper, Peter Gallagher, Allison Janney, Sam Robards, Barry Del Sherman, Amber Smith, Scott Bakula, Matthew Kimbrough, Sue Casey, Ara Celi, John Cho, Fort Atkinson, Kent Faulcon, Brenda Wehle, Lisa Cloud, Alison Faulk, Krista Goodsitt, Lily Houtkin, Carolina Lancaster, Ramona Leah, Chekesha Van Putten, Emily Zachary, Nancy Anderson, Reshma Gajjar, Stephanie Rizzo, Heather Joy Sher, Chelsea Hertford, Joel McCrary, Marissa Jaret Winokur, Dennis Anderson, Erin Cathryn Strubbe, Bruce Cohen, Elaine Corral Kendall, David C. Fisher, Tom Miller"
"Bitter Moon","1992","Roman Polanski","Roman Polanski","Kristin Scott Thomas, Emmanuelle Seigner, Hugh Grant, Peter Coyote, Victor Banerjee, Patrick Albenque, Stockard Channing, Sophie Patel, Luca Vellani, Boris Bergman, Claude Bonnet, Richard Dieux, Danny Wuyts, Smilja Mihailovitch, Leo Eckmann"
"Million Dollar Baby","2004","Clint Eastwood","Albert S. Ruddy, Tom Rosenberg, Clint Eastwood, Paul Haggis","Clint Eastwood, Hilary Swank, Morgan Freeman, Jay Baruchel, Margo Martindale, Benito Martinez, Lucia Rijker, Michael Peña, Anthony Mackie, Bruce MacVittie, Riki Lindhome, Brían F. O'Byrne, Mike Colter, Jason Williams, McKay Stewart, Vladimir Rajcic, Ricky Pak, Sean O'Kane, Kimberly Estrada, Jude Ciccolella, Michael Bentt, Eddie Bates, Don Familton, Miguel Perez, Roy Nugent, Ned Eisenberg, Mark Thomason, Marco Rodríguez, Kirsten Berman, Sunshine Chantal Parkman, Kim Strauss, Brian T. Finney, Jim Cantafio, Spice Williams-Crosby, Ted Grossman, Rob Maron, Susan Krebs, Kim Dannenberg, Jon D. Schorle II, Dean Familton, Ray Corona, V.J. Foster, Lo Ming, Naveen, Steven M. Porter, Jamison Yang, Marcus Chait, Louis Moret, Marty Sammon, Erica Grant, Tom McCleister, Morgan Eastwood, Dave Powledge, Joe D'Angerio, Jimmy Alioto, Nina Avetisova, Bruce Gerard Brown Jr., Marc De'Antone, Christopher Gilbertson, Adolfo Jimenez, Guillermo Jorge, Sean LoGrasso, Robert McMurrer, Michael Saglimbeni, Jaerin Washington"
"Round Midnight","1986","Bertrand Tavernier","Irwin Winkler","Dexter Gordon, François Cluzet, Gabrielle Haker, Martin Scorsese, Philippe Noiret, Lonette McKee, Christine Pascal, Sandra Reaves-Phillips, Bobby Hutcherson, Herbie Hancock"
"Kiss of the Spider Woman","1985","Héctor Babenco","David Weisman","William Hurt, Raúl Juliá, Sônia Braga, José Lewgoy, Milton Gonçalves, Denise Dumont, Miriam Pires, Nuno Leal Maia, Herson Capri, Fernando Torres, Patricio Bisso, Antônio Petrin, Nildo Parente, Wilson Grey, Sônia Braga, Sônia Braga, Miguel Falabella"
"Twin Falls Idaho","1999","Michael Polish","Rena Ronson, Steven J. Wolfe, Marshall Persinger","Garrett Morris, Lesley Ann Warren, Michele Hicks, Michael Polish, Mark Polish, William Katt, Patrick Bauchau, Holly Woodlawn, Jon Gries, Teresa Hill, Sasha Alexander"
"Traffic","2000","Steven Soderbergh","Edward Zwick, Marshall Herskovitz, Laura Bickford","Michael Douglas, Benicio del Toro, Don Cheadle, Catherine Zeta-Jones, Dennis Quaid, Benjamin Bratt, Erika Christensen, Topher Grace, Steven Bauer, Tomas Milian, Jsu Garcia, Luis Guzmán, Miguel Ferrer, Jacob Vargas, Clifton Collins Jr., Amy Irving, Majandra Delfino, Alec Roberts, Michael O'Neill, James Brolin, Albert Finney, D. W. Moffett, Peter Riegert, Mary Pat Gleason, James Pickens Jr., Salma Hayek, John Slattery, Yul Vazquez, Viola Davis, Corey Spears, Jack Conley, Yul Vazquez, Andrew Chavez, Michael Saucedo, Jose Yenque, Jose Yenque, Emilio Rivera, Russell G. Jones, Lorene Hetherington, Eric Collins, Beau Holden, Peter Stader, James Lew, Jeremy Fitzgerald, Russell Solberg, Don Snell, Enrique Murciano, Gary Cervantes, Leticia Bombardier, Carl Ciarfalio, Steven Lambert, Gilbert Rosales, Rick Avery, Mario Roberts, Eileen Weisinger, Keii Johnston, Mike Watson, Kurt D. Lott, Lincoln Simonds, Steve Tomaski, Buck McDancer, John Callery, Ousaun Elam, Brian Avery, Rena Sofer, Stacey Travis, Jennifer Barker, Dean Faulkner, Daniella Kuhn, Brandon Keener, George Blumenthal, Stephen Dunham, Margaret Travolta, Jewelle Bickford, Dave Hager, Tucker Smallwood, Marisol Padilla Sánchez, Víctor Quintero, Toby Holguin, Ramiro González, Elaine Kagan, Jimmy Ortega, Greg Boniface, Thomas Rosales Jr., Rudy M. Camacho, Vonte Sweet, Ed Breving, Eddie Velez, Craig N. Chretien, John Brown, Mike Siegel, Joel Torres, Stephen J. Rose, Kimber Fritz, Harsh Nayyar, Vincent M. Ward, Gregory Estevane, Alex Procopio, Rita Gomez, David Jensen"
"Of Mice and Men","1992","Gary Sinise","Gary Sinise","John Malkovich, Gary Sinise, Sherilyn Fenn, Joe Morton, Alexis Arquette, Casey Siemaszko, John Terry, Ray Walston, Noble Willingham, Richard Riehle, Joe D'Angerio, Tuck Milligan, David Steen, Moira Harris, Mark Boone Junior, Diane McGee, Donna Persico, Lori Tirgrath"
"Eternal Sunshine of the Spotless Mind","2004","Michel Gondry","Anthony Bregman, Steve Golin","Kirsten Dunst, Jim Carrey, Kate Winslet, Elijah Wood, Thomas Jay Ryan, Mark Ruffalo, Jane Adams, David Cross, Tom Wilkinson, Ryan Whitney, Debbon Ayer, Amir Ali Said, Brian Price, Josh Flitter, Lola Daehler, Deirdre O'Connell, Gerry Robert Byrne, Lauren Adler, Paul Litowsky"
"Murder in the First","1995","Marc Rocco","Marc Frydman, Mark Wolper","Christian Slater, Kevin Bacon, Gary Oldman, Embeth Davidtz, Mia Kirshner, R. Lee Ermey, William H. Macy, Brad Dourif, Kyra Sedgwick, Stephen Tobolowsky, Ben Slack, Stefan Gierasch, Alex Bookston, Richie Allan, Herb Ritts, Charles Boswell, David Michael Sterling, Michael Melvin, George Maguire, Nick Scoggin, Douglas Bennett, Joseph Richards, Julius Varnado, Tony Barr, Stuart Nisbet, Gary Ballard, Randy Pelish, Neil Summers, Sonny King, Eddie Bowz, Brian Leckner, Time Winters, James Keane, Lance Brady, Michael Merrins, Ray Quartermus, Lee Mathis, Wayne Parks, Warren Spottswood, Thomas Fenske, Robert Lee, Sheldon Feldner, Fred Franklin, Danny Kovacs, Joseph Lucas, William Hall, Bill Barretta, Randall Dudley, Wally Rose, Amanda Borden, Eve Brenner, Joseph Cole, Richard Kwong, Gary Lee Davis, Bundy Chanock, Tory Christopher, James Anthony Cotton, Charles Cyphers, Laird Macintosh, Mary Mackey, Theo Mayes, Dennis Pappalardo, Douglas W. Randall, Brian Shotwell, Joseph Quinn Simpkins, James A. Swan, Nicole Vigil"
"The Apostle","1997","Robert Duvall","Rob Carliner","Robert Duvall, Farrah Fawcett, Billy Bob Thornton, June Carter Cash, Miranda Richardson, John Beasley, Walton Goggins, Todd Allen, Mary Lynette Braxton, Rick Dial, Emery Hopkins, Jewell Jernigan, Billy Joe Shaver, Paul Bagget"
"Five Easy Pieces","1970","Bob Rafelson","Bob Rafelson, Richard Wechsler, Harold Schneider","Jack Nicholson, Karen Black, Billy Green Bush, Fannie Flagg, Sally Struthers, Lorna Thayer, Susan Anspach, Lois Smith, Helena Kallianiotes, Richard Stahl"
"L.A. Story","1991","Mick Jackson","Mario Kassar, Steve Martin, Michael Rachmil, Daniel Melnick","Steve Martin, Victoria Tennant, Richard E. Grant, Marilu Henner, Sarah Jessica Parker, Susan Forristal, Kevin Pollak, Sam McMurray, Patrick Stewart, Andrew Amador, Gail Grate, Eddie De Harp, MC Shan, Frances Fisher, Iman Abdulmajid, Woody Harrelson, Rick Moranis"
